epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2080.14,0.5919,0.53236,0.89867,0.86105,0.82461,0.87318,0.74179,0.53625,0.43957,0.87362,0.005842,0.005842,0.005842
44,2145.11,0.58294,0.52346,0.89446,0.86275,0.81885,0.88681,0.7509,0.53575,0.4329,0.8699,0.005743,0.005743,0.005743
45,2210.17,0.5862,0.53035,0.89551,0.86009,0.80774,0.86996,0.74333,0.53401,0.43023,0.8673,0.005644,0.005644,0.005644
46,2275.42,0.58411,0.51314,0.89514,0.83342,0.82522,0.88252,0.75296,0.53724,0.43023,0.86523,0.005545,0.005545,0.005545
47,2340.55,0.57718,0.51397,0.8936,0.87484,0.8189,0.8829,0.74791,0.52746,0.41517,0.86445,0.005446,0.005446,0.005446
48,2405.13,0.57478,0.50156,0.89067,0.8245,0.86538,0.87899,0.7562,0.52724,0.42044,0.86256,0.005347,0.005347,0.005347
49,2470.3,0.57632,0.49714,0.89094,0.87815,0.83945,0.89933,0.76155,0.52371,0.40838,0.86439,0.005248,0.005248,0.005248
50,2535.8,0.57143,0.49292,0.88887,0.85531,0.86243,0.90839,0.77305,0.51796,0.40034,0.85863,0.005149,0.005149,0.005149
51,2600.85,0.56919,0.4862,0.88672,0.86413,0.85361,0.9083,0.77436,0.52207,0.40007,0.86121,0.00505,0.00505,0.00505
52,2665.46,0.56876,0.48576,0.88931,0.86307,0.85511,0.90331,0.77258,0.51752,0.38973,0.86101,0.004951,0.004951,0.004951
53,2730.68,0.56297,0.47195,0.88704,0.86721,0.86583,0.91654,0.78231,0.51848,0.38337,0.86167,0.004852,0.004852,0.004852
54,2795.92,0.55818,0.46419,0.88518,0.87332,0.82496,0.896,0.76196,0.5146,0.37936,0.85829,0.004753,0.004753,0.004753
55,2860.64,0.56265,0.46582,0.88248,0.9002,0.84567,0.89823,0.76026,0.51144,0.38384,0.85624,0.004654,0.004654,0.004654
56,2925.81,0.55798,0.4515,0.88265,0.86359,0.8796,0.91589,0.77898,0.5111,0.38342,0.8564,0.004555,0.004555,0.004555
57,2991.28,0.55156,0.44851,0.87999,0.89827,0.85976,0.92015,0.7828,0.51026,0.38125,0.85437,0.004456,0.004456,0.004456
58,3056.05,0.55541,0.45033,0.8801,0.88739,0.86932,0.91432,0.77671,0.5093,0.39376,0.85337,0.004357,0.004357,0.004357
59,3121.06,0.54924,0.44668,0.87886,0.89421,0.86088,0.91431,0.78442,0.50469,0.37734,0.85338,0.004258,0.004258,0.004258
60,3185.84,0.54986,0.43871,0.87932,0.90729,0.8507,0.92007,0.78919,0.50078,0.37131,0.85203,0.004159,0.004159,0.004159
61,3251.34,0.53844,0.42872,0.87526,0.8963,0.87853,0.92316,0.79532,0.50391,0.37091,0.85294,0.00406,0.00406,0.00406
62,3316.57,0.5439,0.43171,0.8788,0.90052,0.85064,0.91963,0.78833,0.50806,0.3711,0.85458,0.003961,0.003961,0.003961
63,3381.9,0.54098,0.42834,0.87807,0.90419,0.85593,0.91323,0.78805,0.50355,0.37213,0.85273,0.003862,0.003862,0.003862
64,3446.74,0.53972,0.42103,0.87457,0.90351,0.86297,0.91468,0.79159,0.50303,0.36483,0.85082,0.003763,0.003763,0.003763
65,3512.32,0.53278,0.41516,0.87846,0.91468,0.85129,0.92507,0.79405,0.50416,0.36043,0.85122,0.003664,0.003664,0.003664
